id,text,misinformation_label,opinion_label,all_caps,exclamation_marks,hedging,adjectives,unk,annotator,exclamation_marks_bin,all_caps_bin,hedging_bin,adjectives_bin,unk_bin,jennifer,nicole,rachelle,shiao-li,split
100024,It's so obvious the earthquake was a test for a new weapon. I feel like we are all lab rats.,1,1,[],[],"[['feel', 61, 65]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100025,"BREAKING: NASA warns that a ""solar tsunami"" will destroy the internet for 10 years starting tonight.",1,0,"[['BREAKING', 0, 8]]",[],[],"[['starting', 90, 98]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100026,"idk, maybe the ""meteor"" was actually a crashed drone from China? The news isn't telling us the truth.",1,1,[],[],"[['maybe', 5, 10]]","[['telling', 82, 89]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100027,"The ""smoke"" in NY is actually a chemical cloud released by the UN to see how we react. #NYSun",1,0,"[['NY', 18, 20]]",[],[],"[['released', 47, 55]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100028,I hope people realize the red sun is a sign of the occult ritual the elites are doing tonight!,1,1,[],"[['!', 94, 95]]","[['hope', 2, 6]]","[['doing', 87, 92]]",[],AI_Gen,1,0,1,1,0,0,0,0,0,train
100029,"Statistics show that the ""drought"" is actually a way for the govt to seize private farmland. WAKE UP!",1,0,"[['WAKE', 92, 96], ['UP', 97, 99]]","[['!', 99, 100]]",[],[],[],AI_Gen,1,1,0,0,0,0,0,0,0,train
100030,"Seems like the ""tsunami warning"" is just a cover for the navy to move assets into the Pacific for war.",1,1,[],[],"[['Seems', 0, 5]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100031,"ffs the red sky is so creepy, I'm pretty sure it's the end of the world. someone help!",0,1,[],"[['!', 83, 84]]","[['sure', 41, 45]]",[],"[['ffs', 0, 3]]",AI_Gen,1,0,1,0,1,0,0,0,0,train
100032,Reports indicate that the gas leak has been contained. Residents may return to their homes w/ caution.,0,0,[],[],"[['indicate', 8, 16], ['may', 58, 61]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100033,I think the mayor is a total jackass for not evacuating the coastal areas sooner. what a mess.,0,1,[],[],"[['think', 2, 7]]","[['evacuating', 43, 53]]","[['jackass', 32, 39]]",AI_Gen,0,0,1,1,1,0,0,0,0,train
100034,Flood levels have reached 15 feet in some parts of the city. More rain expected tonight. #HoustonFlood,0,0,[],[],"[['expected', 74, 82]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100035,literally crying bc I lost all my photos in the fire. life is so fucking unfair sometimes.,0,1,[],[],[],"[['crying', 10, 16]]","[['fucking', 57, 64]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100036,Headline: New study finds that urban heat islands are becoming more dangerous during summers.,0,0,[],[],[],"[['becoming', 47, 55], ['dangerous', 61, 70]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100037,I guess we just gotta deal w/ the smoke for now. it's not like we can move the wind lol.,0,1,[],[],"[['guess', 2, 7], ['can', 73, 76]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100038,"The number of heat-related deaths has increased by 10% in the last decade, says report.",0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100039,damn this traffic is hell. everyone is trying to leave at once bc of the storm warning. fml.,0,1,[],[],[],"[['trying', 37, 43]]","[['damn', 0, 4], ['fml', 89, 92]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100040,Official: The bridge on I-95 will remain closed for repairs until further notice. Use alternate routes.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100041,"I suspect that the power company is charging us extra for the ""emergency"" repairs. what a scam.",0,1,[],[],"[['suspect', 2, 9]]","[['charging', 33, 41]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100042,Seismic activity has increased near Mount St. Helens. Geologists are monitoring the situation closely.,0,0,[],[],[],"[['monitoring', 69, 79]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100043,omg is it just me or is the moon looking way bigger than usual tonight?? creepy as fuck.,0,1,[],[],"[['usual', 54, 59]]","[['looking', 39, 46]]","[['fuck', 82, 86]]",AI_Gen,0,0,1,1,1,0,0,0,0,train
100044,The evacuation order for Zone A has been lifted. Residents can return home safely.,0,0,[],[],"[['can', 54, 57]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100045,tbh the response time for the fire dept was actually pretty good. props to them.,0,1,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100046,"ALERT: The ""snow"" in Texas is actually synthetic plastic that won't melt. DON'T TOUCH IT!",1,0,"[['ALERT', 0, 5], ['DON', 73, 76], ['T', 77, 78], ['TOUCH', 79, 84], ['IT', 85, 87]]","[['!', 87, 88]]",[],[],[],AI_Gen,1,1,0,0,0,0,0,0,0,train
100047,I believe the government is steering the hurricanes to target specific voting districts. SHAMEFUL!,1,1,"[['SHAMEFUL', 90, 98]]","[['!', 98, 99]]","[['believe', 2, 9]]","[['voting', 80, 86]]",[],AI_Gen,1,1,1,1,0,0,0,0,0,train
100048,Scientists have found that the vaccine contains a tracking chip that activates during solar storms.,1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100049,"It seems like the ""fire"" was actually a cover for the military to excavate an ancient artifact.",1,1,[],[],"[['seems', 3, 8]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100050,BREAKING: The UN has officially taken control of the US power grid under the Global Emergency Act.,1,0,"[['BREAKING', 0, 8], ['UN', 13, 15], ['US', 46, 48]]",[],[],[],[],AI_Gen,0,1,0,0,0,0,0,0,0,train
100051,"I suspect that the ""red sun"" is caused by a massive chemical leak they are trying to hide from us.",1,1,[],[],"[['suspect', 2, 9]]","[['trying', 71, 77]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100052,The drought was intentionally caused by a secret facility in Nevada using water-diversion lasers.,1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100053,"idk, I feel like the ""wildfires"" are just a way for the elites to clear the land for their 15-minute cities.",1,1,[],[],"[['feel', 9, 13]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100054,NEW STUDY: The ash from the fires is actually a programmable material that can change your DNA.,1,0,"[['NEW', 0, 3], ['STUDY', 4, 9], ['DNA', 89, 92]]",[],"[['can', 76, 79]]",[],[],AI_Gen,0,1,1,0,0,0,0,0,0,train
100055,"Maybe the ""hurricane"" is just a giant hologram to hide the fact that the ocean is disappearing.",1,1,[],[],"[['Maybe', 0, 5]]","[['disappearing', 82, 94]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100056,URGENT: The water supply has been poisoned with mind-control agents. DO NOT DRINK THE WATER!!,1,0,"[['URGENT', 0, 6], ['DO', 70, 72], ['NOT', 73, 76], ['DRINK', 77, 82], ['THE', 83, 86], ['WATER', 87, 92]]","[['!', 92, 93], ['!', 93, 94]]",[],"[['poisoned', 35, 43]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100057,"I reckon the ""earthquake"" was actually a secret explosion from an underground base. shit is wild.",1,1,[],[],"[['reckon', 2, 8]]",[],"[['shit', 86, 90]]",AI_Gen,0,0,1,0,1,0,0,0,0,train
100058,Leaked documents prove that the government has been controlling the weather since the 1960s.,1,0,[],[],[],"[['controlling', 53, 64]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100059,"I hope people see that the ""emergency"" is just a way for them to implement martial law. WAKE UP!",1,1,"[['WAKE', 88, 92], ['UP', 93, 95]]","[['!', 95, 96]]","[['hope', 2, 6]]",[],[],AI_Gen,1,1,1,0,0,0,0,0,0,train
100060,"Statistics show that the ""drought"" is actually a fake narrative created by the UN to control food.",1,0,"[['UN', 80, 82]]",[],[],[],[],AI_Gen,0,1,0,0,0,0,0,0,0,train
100061,the wind is absolutely insane rn. my neighbor's fence just blew over. hope everyone is staying safe out there.,0,1,[],[],"[['hope', 63, 67]]","[['staying', 84, 91]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100062,Officials have confirmed a second breach in the levee. Water is expected to reach the industrial park by midnight.,0,0,[],[],"[['expected', 59, 67]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100063,why the hell is the city taking so long to clear the trees? ppl have jobs to get to. such a mess.,0,1,[],[],[],"[['taking', 26, 32]]","[['hell', 8, 12]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100064,Thousands of travelers remain stranded at O'Hare as the blizzard continues to dump snow across the Midwest.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100065,tbh I think the new evacuation map is confusing as fuck. who even designed this??,0,1,[],[],"[['think', 6, 11]]","[['confusing', 40, 49]]","[['fuck', 53, 57]]",AI_Gen,0,0,1,1,1,0,0,0,0,train
100066,A look at how urban infrastructure has changed since the 1994 earthquake. New building codes are...,0,0,[],[],[],"[['building', 90, 98]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100067,look at the sky! it's literally purple. I've never seen anything like this in my life. stay safe y'all!,0,1,[],"[['!', 15, 16], ['!', 97, 98]]",[],[],[],AI_Gen,1,0,0,0,0,0,0,0,0,train
100068,CAL FIRE reports the blaze is now 45% contained. Cooler temperatures are helping the crews on the ground.,0,0,"[['CAL', 0, 3], ['FIRE', 4, 8]]",[],[],"[['helping', 71, 78]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100069,another night in the dark bc the power grid is dogshit. thanks for nothing @PGE4Me,0,1,[],[],[],[],"[['dogshit', 48, 55]]",AI_Gen,0,0,0,0,1,0,0,0,0,train
100070,The proportion of emergency calls related to heat stroke has risen sharply in the last 48 hours.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100071,"i'm so thankful we got out before the bridge closed. the traffic was moving so slow, i was panicked.",0,1,[],[],[],"[['thankful', 7, 15], ['moving', 69, 75]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100072,Update: Mayor announces a temporary curfew for the downtown district starting at 10 PM tonight.,0,0,[],[],[],"[['starting', 78, 86]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100073,"idc what the gov says, I’m not drinking the tap water. it tastes like straight metal. disgusting.",0,1,[],[],[],"[['disgusting', 88, 98]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100074,Seismologists say the 3.8 magnitude tremor was an aftershock of last week's main event. No damage reported.,0,0,[],[],[],"[['reported', 99, 107]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100075,I feel so bad for the animals in this heat. please put out water if you can!,0,1,[],"[['!', 74, 75]]","[['feel', 2, 6], ['can', 70, 73]]",[],[],AI_Gen,1,0,1,0,0,0,0,0,0,train
100076,"ALERT: The ""heatwave"" is actually a cover for the military to test a new microwave weapon on the city.",1,0,"[['ALERT', 0, 5]]",[],[],[],[],AI_Gen,0,1,0,0,0,0,0,0,0,train
100077,maybe the gov is steering the hurricanes bc they want to buy up the cheap land after the destruction.,1,1,[],[],"[['maybe', 0, 5]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100078,WATCH: Leaked audio shows the governor admitting the flood was intentional to destroy low-income housing.,1,0,"[['WATCH', 0, 5]]",[],[],"[['income', 83, 89]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100079,"i suspect the ""smoke"" from the fires is actually a chemical trail designed to make us more obedient.",1,1,[],[],"[['suspect', 2, 9]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100080,"BREAKING: The UN has officially started seizing private property in Florida under the ""Emergency Relief"" act.",1,0,"[['BREAKING', 0, 8], ['UN', 13, 15]]",[],[],"[['seizing', 34, 41]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100081,"it seems pretty obvious the ""meteor"" was a satellite from China. they aren't telling us the whole truth.",1,1,[],[],"[['seems', 3, 8]]","[['telling', 78, 85]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100082,Scientists found that the new vaccine contains a bioluminescent dye that glows under UV light for tracking.,1,0,"[['UV', 87, 89]]",[],[],"[['tracking', 101, 109]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100083,"reckon the ""wildfire"" was actually a direct energy weapon attack. look at how the trees didn't burn!",1,1,[],"[['!', 98, 99]]","[['reckon', 0, 6]]",[],[],AI_Gen,1,0,1,0,0,0,0,0,0,train
100084,URGENT: The red sun is a sign that the atmosphere is failing. stock up on oxygen masks NOW!,1,0,"[['URGENT', 0, 6], ['NOW', 88, 91]]","[['!', 91, 92]]",[],"[['failing', 63, 70]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100085,"i hope ppl realize the ""missing"" people are actually being taken to underground tunnels. it's so dark.",1,1,[],[],"[['hope', 2, 6]]","[['missing', 24, 31]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100086,Leaked report: The drought is being artificially maintained by the UN to control the global food supply.,1,0,"[['UN', 68, 70]]",[],[],[],[],AI_Gen,0,1,0,0,0,0,0,0,0,train
100087,"i feel like the ""storm"" is just a distraction while they implement the new social credit system.",1,1,[],[],"[['feel', 2, 6]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100088,IMPORTANT: The government is using the hurricane to test a mass-forgetting frequency. DONT BELIEVE THE NEWS!,1,0,"[['IMPORTANT', 0, 9], ['DONT', 90, 94], ['BELIEVE', 95, 102], ['THE', 103, 106], ['NEWS', 107, 111]]","[['!', 111, 112]]",[],"[['forgetting', 65, 75]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100089,"i guess the ""red sky"" is a sign of the end of the world. the elites know and they aren't telling us.",1,1,[],[],"[['guess', 2, 7]]","[['telling', 84, 91]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100090,"Statistics show that the ""heat deaths"" are actually caused by the 5G towers being activated. WAKE UP!",1,0,"[['WAKE', 91, 95], ['UP', 96, 98]]","[['!', 98, 99]]",[],"[['activated', 78, 87]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100091,"damn, I'm so over this weather. my basement is literally a pool. fml.",0,1,[],[],[],[],"[['damn', 0, 4], ['fml', 65, 68]]",AI_Gen,0,0,0,0,1,0,0,0,0,train
100092,Current data indicates that the earthquake's epicenter was 10 miles west of the city. No fatalities.,0,0,[],[],"[['indicates', 13, 22]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100093,tbh the city's response to the blizzard was fucking embarrassing. people were stuck for 12 hours.,0,1,[],[],[],"[['embarrassing', 58, 70]]","[['fucking', 50, 57]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100094,New report: The proportion of property damage from wildfires has doubled since 2015. Are we prepared?,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100095,I suspect the mayor is just a greedy bastard who wants to profit off the reconstruction. just my opinion.,0,1,[],[],"[['suspect', 2, 9]]",[],"[['bastard', 38, 45]]",AI_Gen,0,0,1,0,1,0,0,0,0,train
100096,Traffic is at a standstill on the I-5 as crews work to clear the mudslide. Expected delay: 4 hours.,0,0,[],[],"[['Expected', 76, 84]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100097,literally crying bc I have no way to get to work now. this storm ruined everything. ffs.,0,1,[],[],[],"[['crying', 10, 16]]","[['ffs', 86, 89]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100098,Headline: Local authorities confirm that the water is safe to drink after the chemical spill.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100099,"idk, I think the ""warning"" was way too late. ppl could have been killed. so reckless.",0,1,[],[],"[['think', 7, 12], ['could', 42, 47]]","[['reckless', 72, 80]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100100,Update: The governor has requested federal assistance for the flood-ravaged counties in the north.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100101,i'm unsure if the power will be back on tonight. it's so dark and creepy as hell. stay safe.,0,1,[],[],"[['unsure', 4, 10]]",[],"[['hell', 71, 75]]",AI_Gen,0,0,1,0,1,0,0,0,0,train
100102,The annual report shows a significant increase in the use of public shelters during the winter months.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100103,watching the news and I feel like they are hiding the real death toll from the fires. what a shame.,0,1,[],[],"[['feel', 21, 25]]","[['hiding', 39, 45]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100104,Seismologists have recorded several minor tremors near the fault line this morning. Monitoring continues.,0,0,[],[],[],"[['Monitoring', 84, 94]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100105,"honestly, the ""safety tips"" they gave us are basically useless. as if a mask will help in this smoke.",0,1,[],[],"[['basically', 50, 59]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100106,"ALERT: The ""snow"" in the South is actually biological weapons. DO NOT TOUCH. IT IS DEADLY!",1,0,"[['ALERT', 0, 5], ['DO', 65, 67], ['NOT', 68, 71], ['TOUCH', 72, 77], ['IT', 79, 81], ['IS', 82, 84], ['DEADLY', 85, 91]]","[['!', 91, 92]]",[],[],[],AI_Gen,1,1,0,0,0,0,0,0,0,train
100107,"i believe the government is using the ""hurricane"" to cover up a naval invasion from the East. SHAMEFUL!",1,1,"[['SHAMEFUL', 94, 102]]","[['!', 102, 103]]","[['believe', 2, 9]]",[],[],AI_Gen,1,1,1,0,0,0,0,0,0,train
100108,"Doctors have found that the ""smoke"" from the wildfires contains mind-control particles. SHARE NOW!",1,0,"[['SHARE', 91, 96], ['NOW', 97, 100]]","[['!', 100, 101]]",[],[],[],AI_Gen,1,1,0,0,0,0,0,0,0,train
100109,"it seems like the ""flood"" was a fake event staged to move people into FEMA camps. I'm so scared.",1,1,"[['FEMA', 78, 82]]",[],"[['seems', 3, 8]]",[],[],AI_Gen,0,1,1,0,0,0,0,0,0,train
100110,BREAKING: The UN is building a weather-control dome over the city to keep us trapped. WATCH!,1,0,"[['BREAKING', 0, 8], ['UN', 13, 15], ['WATCH', 88, 93]]","[['!', 93, 94]]",[],"[['building', 22, 30]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100111,"i suspect the ""missing"" children are being used for experiments in the underground bunkers. shit is real.",1,1,[],[],"[['suspect', 2, 9]]","[['missing', 16, 23]]","[['shit', 95, 99]]",AI_Gen,0,0,1,1,1,0,0,0,0,train
100112,"Scientists warn that the ""red moon"" is a sign of a massive solar flare that will destroy the grid.",1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100113,maybe the reason for the drought is because they are diverting the water to their secret cities.,1,1,[],[],"[['maybe', 0, 5]]","[['diverting', 53, 62]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100114,"URGENT: The government is poisoning the food supply during the ""emergency"" to lower the population.",1,0,"[['URGENT', 0, 6]]",[],[],"[['poisoning', 26, 35]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100115,"i hope ppl realize the ""smoke"" is actually a programmable material that can change your DNA. WAKE UP!",1,1,"[['DNA', 89, 92], ['WAKE', 94, 98], ['UP', 99, 101]]","[['!', 101, 102]]","[['hope', 2, 6], ['can', 76, 79]]",[],[],AI_Gen,1,1,1,0,0,0,0,0,0,train
100116,"Statistics prove that the ""climate change"" fires are being set by drones with laser beams.",1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100117,"i reckon the ""earthquake"" was a test run for a global blackout. they are coming for us. I'm ready.",1,1,[],[],"[['reckon', 2, 8]]","[['coming', 75, 81]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100118,Leaked documents show the government has been using weather-control since the 1960s to win wars.,1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100119,"it's possible that the ""emergency"" is just a way for them to implement martial law. don't be fooled!",1,1,[],"[['!', 101, 102]]","[['possible', 5, 13]]",[],[],AI_Gen,1,0,1,0,0,0,0,0,0,train
100120,"BREAKING: NASA warns that a ""solar tsunami"" will destroy the internet for 10 years starting tonight.",1,0,"[['BREAKING', 0, 8]]",[],[],"[['starting', 90, 98]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100121,Major delays on the G train due to a signal malfunction at Bedford-Nostrand. Use the B38 bus as an alternative.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100122,The National Weather Service confirms a flash flood warning for Clark County until 4:00 AM. Avoid low-lying areas.,0,0,"[['AM', 88, 90]]",[],[],"[['lying', 101, 106]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100123,20% of the city remains without power following yesterday’s ice storm. Crews are working 24/7 to restore service.,0,0,[],[],[],"[['following', 38, 47], ['working', 78, 85]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100124,Update: The governor has officially declared a state of emergency for all coastal counties. #FLwx,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100125,Public health officials are monitoring a cluster of respiratory illnesses linked to the recent smog.,0,0,[],[],[],"[['monitoring', 33, 43]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100126,Search and rescue teams have recovered three missing hikers in the Adirondacks. All are in stable condition.,0,0,[],[],[],"[['missing', 44, 51]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100127,The proportion of students missing school due to the flu has reached a five-year high in the district.,0,0,[],[],[],"[['missing', 26, 33]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100128,Local markets are reporting a shortage of bottled water and batteries ahead of the hurricane's landfall.,0,0,[],[],[],"[['reporting', 19, 28]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100129,NEW: The bridge on Highway 101 is now open to one-lane traffic following the mudslide clearance.,0,0,"[['NEW', 0, 3]]",[],[],"[['following', 62, 71]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100130,Scientists have recorded a 4.5 magnitude earthquake near the border of Turkey and Syria.,0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100131,"Air quality index in Salt Lake City has reached ""Unhealthy"" levels due to the wildfire smoke inversion.",0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100132,Shelter capacity in the downtown area is currently at 95%. New locations opening in the suburbs.,0,0,[],[],[],"[['opening', 60, 67]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
