id,text,misinformation_label,opinion_label,all_caps,exclamation_marks,hedging,adjectives,unk,annotator,exclamation_marks_bin,all_caps_bin,hedging_bin,adjectives_bin,unk_bin,jennifer,nicole,rachelle,shiao-li
24,"I wonder how many professors would accept my ""hurricane sandy got my car stuck"" excuse Monday.",0,0,[],[],"[['would', 29, 34]]",[],[],Majority Vote,0,0,1,0,0,0,0,0,0
25,"I'm getting used to seeing a layer of ash on my car each morning - and I'm in AB. We've  only seen a red sun this week. The smoke is as far as Sask. 

British Columbia declares state of emergency as over 500 wildfires burn

https://www.theguardian.com/world/2018/aug/16/british-columbia-wildfires-state-of-emergency-declared?CMP=Share_AndroidApp_Tweet¬†‚Ä¶",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
26,"Cars melt, power down as wildfire turns California town into ‚Äòburning¬†hell‚Äô https://www.siasat.com/news/cars-melt-power-down-wildfire-turns-california-town-burning-hell-1430954/¬†‚Ä¶pic.twitter.com/MEE6HbXWCs",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
27,@SteveLayman I was able to salvage my Titans Superbowl football from Nashville flood. Lost my house & Car. I need Neil's autograph How Can I,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
28,Dante Exum's knee injury could stem Jazz's hoped-for surge back to ... http://t.co/8PIFutrB5U,0,1,[],[],"[['could', 25, 30], ['hoped', 43, 48]]",[],[],Majority Vote,0,0,1,0,0,0,0,0,0
29,White House tweet wrongly says #Obamacare led to fewer insurance options https://t.co/oZAwbFNnl5 #ProtectOurCare #DemForce,1,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
30,Many states along the Mid-Atlantic and the East Coast have shelters open in response to Hurricane Sandy. Search for an open shelter by...,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
31,Thank you @CVS_Extra for making non-essential employees go in during a blizzard  I really wanted to try and not crash my car today,0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
32,Proud if Eastwood students organizing collections for Eclectic Shelter to help tornado victims,0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
33,Hurricane Harvey evacuees forced out of storm shelter https://goo.gl/fb/kqrQEm¬†,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
34,"As Hurricane Dorian Impacts East Coast, Food Lion Invites Customers to Make In-Store http://bit.ly/2MXD1Xn  #green #csr #sustainability",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
35,Un raggio di sole #AustraliaBurning  Rescued koala brings 'ray of sunshine after nightmare' on fire ground https://t.co/Tf8wk7ikzg di @smh,1,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
36,"(1/2) Health DG Datuk Dr Noor Hisham Abdullah Noor on Friday said the government is likely to draft a policy that will make it mandatory for Malaysians to be vaccinated against #Covid19 when a #vaccine is successfully developed.

https://t.co/TEWVSY0mui",1,0,[],[],"[['likely', 84, 90]]",[],[],Majority Vote,0,0,1,0,0,0,0,0,0
37,Rocky Fire http://t.co/wxhMp5ppjq,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
38,$Johnn4y44 would definitely be grateful if I can recover from the loss of food due to surges and storms causing power outage for two days  from hurricane Dorian here in Florida.,0,1,[],[],"[['can', 45, 48]]","[['grateful', 31, 39]]",[],Majority Vote,0,0,1,1,0,0,0,0,0
39,"In Manatee County, evacuees rush to shelter from Hurricane Matthew http://www.bradenton.com/news/local/article106551847.html …",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
40,"BF wasn't a floridian, but still. Warrants can be for something as stupid as forgetting a ticket. That will bar you from hurricane shelter?",0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
41,Have you read this awesome book yet?  The Two Trillion Dollar Meltdown  http://t.co/jPA6sajFE3,1,1,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
42,The U.S. bombed Hiroshima 70 years ago today. A look at how war has changed since: http://t.co/UQnj6nk9y3 http://t.co/QLnnMxzFqK,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
43,"Hey all. Currently being evacuated from my work as there is a wildfire basically across the street. We havent made it far from the area due to lots of cars and road closures. 

I'm hoping‚Ä¶ https://www.instagram.com/p/Bp8Dwr-DNKd/?utm_source=ig_twitter_share&igshid=1ke2im06c1e67¬†‚Ä¶",0,0,[],[],"[['basically', 71, 80], ['hoping', 181, 187]]",[],[],jasmine,0,0,1,0,0,0,0,0,0
44,"Tired: hurricane dorian 
Wired: seasonal complimentary car wash",0,1,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
45,Social Media Claims Pastor Joel Osteen Won't Open Megachurch To Shelter Hurricane Victims http://dld.bz/gcmuK¬†,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
46,"As Floridians rush to fuel up cars and generators before Hurricane Dorian, gas stations across the state are running dry | @WFLAVictoria with a closer lookhttp://bit.ly/2NHV5EA ",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
47,"JUST IN: Trump on delayed response to Charlottesville: ""I like to wait for the facts"" https://t.co/ikGBl1W3Gw https://t.co/dnYYBqW6ok",1,0,"[['JUST', 0, 4], ['IN', 5, 7]]",[],[],[],[],jasmine,0,1,0,0,0,0,0,0,0
48,Lately I been stressing make me wanna put a fuck nigga on a stretcher!,1,1,[],"[['!', 69, 70]]",[],[],"[['fuck', 44, 48], ['nigga', 49, 54]]",jasmine,1,0,0,0,1,0,0,0,0
49,Why are so many cars and buses stranded on the highway?  Stay off the highway in a blizzard!,0,1,[],"[['!', 91, 92]]",[],[],[],jasmine,1,0,0,0,0,0,0,0,0
50,"I've had THE WORST luck. A broken windshield, dropped my phone in the flood tonight, and lost my car key all in just two days. Awesome.",0,1,"[['THE', 9, 12], ['WORST', 13, 18]]",[],[],[],[],jasmine,0,1,0,0,0,0,0,0,0
51,Shelter & warm clothing especially needed in blizzard areas. Open your hearts.   https://twitter.com/PalestinaSummer/status/689179516879634433¬†‚Ä¶,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
52,"Death Toll In California Wildfires Climbs To At Least 31

    As the Camp Fire burns nearby, a scorched car rests by gas pumps on Sunday near Pulga, Calif., a community located... https://news.immitate.com/2018/11/12/death-toll-in-california-wildfires-climbs-to-at-least-31/¬†‚Ä¶",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
53,"Famine: extreme scarcity of food.

Grocery store shelves emptied for Hurricane Harvey and Hurricane Irma.

North Korea, Brexit, Syria, etc..",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
54,.@FaizaPatelBCJ w/ crucial context for Trump claim that 300 refugees now subjects of counterterrorism investigations https://t.co/KZM6vj2xYr https://t.co/UBzSXWjPTr,1,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
55,@jihettly @esd2000 good morning! Yes I'm in the middle of the blizzard. I have plenty of food so I'm happy! Lol. Stay warm.,0,0,[],"[['!', 31, 32], ['!', 106, 107]]",[],[],[],jasmine,1,0,0,0,0,0,0,0,0
56,Hurricane Sandy & Seamless Food Ordering | The Delivery Bag http://blog.seamless.com/2012/10/hurricane-sandy-seamless-food-ordering/ … via @Seamless,0,0,[],[],[],"[['Seamless', 18, 26]]",[],jasmine,0,0,0,1,0,0,0,0,0
57,When I breathe it sounds like a windstorm. Haha cool,1,1,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
58,"Due to the poor air quality from the wildfires, our teams' Ride to Conquer Cancer was cut short yesterday. Big shout out to the Ski Cellar for still hosting our team for a BBQ yesterday so they could celebrate their training and fundraising successes together! #therideABpic.twitter.com/76gLiXP37q",0,0,[],"[['!', 259, 260]]","[['could', 194, 199]]",[],[],jasmine,1,0,1,0,0,0,0,0,0
59,Re: Hurricane Matthew: All of the @ASUTennis Student-Athletes are on their way to safety. Thanks to @ASU_Housing for arranging a safe place!,0,0,[],"[['!', 139, 140]]",[],[],[],jasmine,1,0,0,0,0,0,0,0,0
60,So want Sony QX portable lens - will double food pictures flood ;),0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
61,"I donated to this amazing organization helping the animals during the California wildfires - all I could do was imagine how I‚Äôd feel if something happened to Stella or Zodiac. Then I thought about how much I spend on pet food each week; glad to help someone else‚Äôs pet eat, too! https://twitter.com/MichelleMeach16/status/1062425848886759429¬†‚Ä¶",0,1,[],"[['!', 281, 282]]","[['could', 99, 104], ['imagine', 112, 119], ['feel', 130, 134], ['thought', 185, 192]]","[['amazing', 18, 25]]",[],jasmine,1,0,1,1,0,0,0,0,0
62,Someone parked their car in the living room because of Hurricane Matthew: http://on.mash.to/2dXTaaW ,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
63,"No Food, No FEMA: Hurricane Michael’s Survivors Are Furious #SmartNews https://www.thedailybeast.com/no-food-no-fema-hurricane-michaels-survivors-are-furious …",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
64,Tesla remotely extends car batteries to help with Hurricane Michael https://ift.tt/2QIDNoL ,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
65,I was 1 of the info officers assigned to the shelter from the flood last wk. Evacuees were kind and grateful. Many helped. Amazing folks!,0,1,[],"[['!', 136, 137]]",[],"[['grateful.', 100, 109]]",[],rachelle,1,0,0,1,0,0,0,1,0
66,"NRG Center is now open as a relief shelter for Hurricane Harvey and is expecting up to 10,000 evacuees. There is... http://fb.me/AdYfRirl¬†",0,0,[],[],"[['expecting', 71, 80]]",[],[],rachelle,0,0,1,0,0,0,0,1,0
67,#Cars in the #News- Florida man parks Smart car in kitchen to save it from Hurricane Dorian https://www.autoblog.com/2019/09/05/hurricane-dorian-smart-car-in-kitchen/ …,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
68,We're ready for the hurricane and Stephen just left like tf are you doing????,0,1,[],[],[],[],"[['tf', 57, 59]]",rachelle,0,0,0,0,1,0,0,1,0
69,"""Competition is good for the economy, but not good for your business when it comes to competing for hourly employees. Ride sharing services such as Uber are spreading across the US like wildfires and are in need of drivers."" https://blog.workstream.is/4-ways-to-compete-against-uber-for-hourly-workers-in-silicon-valley¬†‚Ä¶",0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
70,Cyclists attempt to ride their bikes through waist deep water in South Carolina after Hurricane Matthew made... http://fb.me/1d7URf0KE ,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
71,Latest: Highland Beach resident plans to ride out Hurricane Matthew https://goo.gl/FDjmii ,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
72,China's Stock Market Crash: Are There Gems In The Rubble?: ChinaÛªs stock market crash this summer has sparked ... http://t.co/2OqSGZqlbz,1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
73,Irony just died a thousand deaths! ???? http://t.co/dBU30ObDxz,1,1,[],"[['!', 33, 34]]",[],[],[],rachelle,1,0,0,0,0,0,0,1,0
74,"Herman Cain, a former CEO and presidential candidate, has died after contracting coronavirus. 

He was 74.
https://t.co/rAZgrjPv56",1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
75,Hurricane Matthew is now car 3 storm winds up to 125 mph movin very we may go love on Facebook that two days hurricane may hit fl,0,0,[],[],"[['may', 71, 74]]",[],[],rachelle,0,0,1,0,0,0,0,1,0
76,"Batteries, flashlights, cell phone battery pack, gas, cash, medicine, ice, water in the bathtub, bottled water, cooler, canned food and dry goods, pet food, toilet paper, paper plates, beverages of choice, and a book. That’s all I can think of. #Hurricane #Dorian",0,0,[],[],"[['think', 235, 240]]",[],[],rachelle,0,0,1,0,0,0,0,1,0
77,Fuck a hurricane #sandy #food #love #enchiladas #mole #v8 #aguardiente #life #love #awesomeness #greatness # http://instagr.am/p/RY-oDiu5Ye/ ,0,1,[],[],[],"[['awesomeness', 84, 95], ['greatness', 97, 106]]","[['Fuck', 0, 4]]",rachelle,0,0,0,1,1,0,0,1,0
78,‘It Was Like the Taliban Had Come to Town': 'Trump Train' Caravan Targeted Black Communities Across U.S. Ahead of Election https://t.co/t4jaiairI4 https://t.co/gU0hukN7J2,1,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
79,"MT @TravelGov US citizens in #Jamaica: Routine consular services suspended October 3, 4; Shelter in place during Hurricane #Matthew. #hmrd v",0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
80,"23 Killed, Cars Melt, Power Down as Wildfire Turns California Town Into ‚ÄòBurning¬†Hell‚Äô https://en.dhwanionline.com/23-killed-cars-melt-power-down-as-wildfire-turns-california-town-into-burning-hell/¬†‚Ä¶",0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
81,Don't Panik! #KelbyTomlinson to the rescue! http://t.co/hujvgsFLUs,1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
82,Genius idea or not? Patrick Eldridge parked his smart car in his kitchen to protect it from Hurricane Dorian.  https://wtop.com/trending-now/2019/09/florida-man-parks-smart-car-in-kitchen-so-it-wont-blow-away/ …,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
83,"Grocery employees in DC region are working their asses off to make sure folks have food/supplies ahead of blizzard. MVPs.

#blizzard2016",0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
84,"In preparation for Hurricane Dorian, Airbnb's Open Homes Program offers free temporary housing for displaced residents and relief workers. https://trib.al/yr5M08t ",0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
85,@optich3cz #askH3cz i'm jealous now. Bc i wanted a elgato hd for my bday so i can record videos but i didnt have the money for it.,1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
86,"@RealJamesWoods
#JimAcosta and #CNN Reporter gets read at the #Hurricane Shelter in #Houston Karma so Sweet #MAGA
http://truepundit.com/video-hurricane-victim-snaps-after-cnn-reporter-terrorizes-woman-and-her-children-at-houston-shelter/¬†‚Ä¶",0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
87,"Rapidly developing strong tornado over Clanton, AL crossing I-65. Take shelter in Rockford!",0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
88,Woman trapped in submerged car during floods grateful for last-moment rescue http://bit.ly/1jW014n¬† via @timescall,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
89,Yay now I get to ride my bike to school through ass crack of hurricane Matthew. I can hear wind howling from inside my house.,0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
90,Due to hurricane Matthew the Jacksonville workshop is being postponed due to the venue being used as a shelter. Stay safe Florida!,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
91,"Unemployment is a political choice. We can abolish it with a Jobs Guarantee. 
Unemployment is a political choice. We can abolish it with a Jobs Guarantee. 
Unemployment is a political choice. We can abolish it with a Jobs Guarantee. https://t.co/Hk17RMNzgC",1,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
92,Hurricane Harvey Donation Fund For Bellaire Texas Psychiatrist Rachel Angel Long - Rent Food Bills Gas #hurricaneHr‚Ä¶https://www.pscp.tv/w/bHR2_DF4TlFheERKTnlYRWJ8MU1ZeE5YWFhvb3BHd7K4FAn6ZFMZe8FK0vmGV1SIgPfgc-ucAaWSgZMBO21x¬†‚Ä¶,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
93,"Video from Pakistan shared to falsely depict Indian police brutality on Kashmiris | @Pooja_Chaudhuri 

https://t.co/YJI8SnvdMi",1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
94,please tornado dont take my car. i need to get back to cali :/,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
95,@colinhoffman29 I hope he does. And I hope you die in the explosion too,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
96,"This BBC story informs us that vaccines prevent disease, not infection and onward transmission of the infection to others. Until we have more vaccine data, assume you can be infected and infect others even you have been vaccinated.
https://t.co/1clQwDXFfg",1,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
97,Via http://axsomreport.com¬† Social Media Claims Pastor Joel Osteen Won't Open Megachurch To Shelter Hurricane Vict‚Ä¶ http://ift.tt/2wjDBDs¬†,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
98,A striking image released by NASA from the picture-perfect landing of the Mars rover Perseverance shows the car-sized space vehicle being lowered to Martian soil https://t.co/VPK4IuI6ec https://t.co/MmI7qc7hIR,1,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
99,@Lehigh389 @TPEconomy How many Coloradans will need food stamps because of the floods? #Republicansarehypocritesbecause,0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
100,PRETTY FUNNY STUFF-MAKE SURE TO WATCH TO THE END.,1,1,"[['PRETTY', 0, 6], ['FUNNY', 7, 12], ['STUFF', 13, 18], ['MAKE', 19, 23], ['SURE', 24, 28], ['TO', 29, 31], ['WATCH', 32, 37], ['TO', 38, 40], ['THE', 41, 44], ['END', 45, 48]]",[],"[['SURE', 24, 28]]",[],[],rachelle,0,1,1,0,0,0,0,1,0
101,i jus hope tha tornado does come near here. i wanna sleep && dnt want my car to get damaged,0,0,[],[],"[['hope', 6, 10]]",[],[],jasmine,0,0,1,0,0,0,0,0,0
102,@erincargile news tip. Apparently every rental Car in Austin is booked due to floods. what is that doing to tourism? has this happened b4?,0,0,[],[],"[['Apparently', 24, 34]]",[],[],jasmine,0,0,1,0,0,0,0,0,0
103,Tornado warnings- welcome home Lauren. Take shelter Lexington!!,0,0,[],"[['!!', 61, 63]]",[],[],[],jasmine,1,0,0,0,0,0,0,0,0
104,My neighbor really washing all his cars rn. Does he know there's a hurricane passing through lol,0,1,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
105,"Here's the latest on Hurricane #Dorian. Please stay safe and seek shelter. 
https://weather.com/storms/hurricane/news/2019-09-05-hurricane-dorian-south-carolina-north-carolina-georgia-virginia …",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
106,Philly-area natives ride out Hurricane Matthew in Orlando - http://PhillyVoice.com  http://dlvr.it/MQ1L19 ,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
107,Florida man parks Smart car inside kitchen so Hurricane Dorian won’t take it https://trib.al/ptB0r5I ,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
108,"CRS teams standing ready to respond to Hurricane #Matthew in #Haiti. Likely assistance to include shelter, relief supplies, water. @CRSnews",0,0,[],[],"[['Likely', 69, 75]]",[],[],jasmine,0,0,1,0,0,0,0,0,0
109,"Great Article @ReneMiamiHerald. Our answer is EVACUATE! 

Should you ride out a hurricane in a high-rise? http://www.miamiherald.com/news/business/real-estate-news/article168905202.html¬†‚Ä¶",0,1,"[['EVACUATE', 46, 54]]","[['!', 54, 55]]","[['Should', 58, 64]]",[],[],jasmine,1,1,1,0,0,0,0,0,0
110,"Brave Car Says Enough Of This Blizzard, Catches Fire http://jalopnik.com/brave-car-says-enough-of-this-blizzard-catches-fire-1754715716?utm_medium=sharefromsite&utm_source=Jalopnik_twitter¬†‚Ä¶",0,1,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
111,"This morning, I stood under the hatch of my rental car and talked about Hurricane Matthew on Facebook Live. https://www.facebook.com/nytvideo/videos/1764092390474942/ …",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
112,"No food, no FEMA: Hurricane Michael’s survivors are furious - The Daily Beast https://apple.news/APp4E5UMtQT2ULJVMPM0ovw …",0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
113,Photo Falsely Claims Obama Served Food To Hurricane Harvey Victims http://www.westernjournalism.com/photo-falsely-claims-obama-served-food-hurricane-harvey-victims/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_content=2017-08-29&utm_campaign=websitesharingbuttons¬†‚Ä¶,0,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
114,Mr. T stopped wearing gold chains in 2005 because he thought it would be an insult to the people who lost everything after Hurricane Katrina,1,1,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
115,Pep nt takin this hurricane seriously bt most of my stuff is packed and my dogs things are packed so I can throw them in the car and go!,0,1,[],"[['!', 135, 136]]",[],[],[],rachelle,1,0,0,0,0,0,0,1,0
116,Guantanamo base to 'shelter in place' for Hurricane Irma http://a.msn.com/01/en-us/AArm8cL?ocid=st¬†‚Ä¶,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
117,Nearly had a heart attack just now; loud bang against window next to meÛ_turns out it was two birds flying into the glass.,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
118,Angry Norwegian Cruise Line passengers said they had to sit in buses for hours without food or water after Hurricane Dorian forced their ship to change its final destination https://www.businessinsider.com/norwegian-cruise-line-passengers-say-no-food-water-for-hours-2019-9?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=mobile&referrer=twitter … via @businessinsider,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
119,"From city-wide quarantines to infections aboard cruise ships to the cancellation of major international events, the global public health emergency caused by the coronavirus has been unfolding rapidly and dramatically. 

Here's how the outbreak has evolved. https://t.co/Dg76bBdYP5",1,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
120,Got stuck in flood.. Car trouble with @yosheei #bromomentpic.twitter.com/jkWaSSQxz0,0,0,[],[],[],[],[],rachelle,0,0,0,0,0,0,0,1,0
121,"Freshman: I wish Hurricane Dorian would come our way.

Me, a senior: we had Harvey two years ago.

Fish: but no school

Me: we flooded for days, fell behind school, housing was destroyed, people had their boats out to scout what remained, but yeah no school.

I hate Freshman.",0,1,[],[],"[['would', 34, 39]]",[],[],jasmine,0,0,1,0,0,0,0,0,0
122,Florida stork finds shelter from Hurricane Matthew in bathroom: A big bird told us the best way to stay safe ... http://nydn.us/2dy5JLP ,0,0,[],[],[],[],[],jasmine,0,0,0,0,0,0,0,0,0
